GPS time	ZED timestamp	Temp (C)	Sys_cal	accel_cal	gyro_cal	mag_cal	w_quat	x_quat	y_quat	z_quat	x_eulery_euler	z_euler
2017-06-30T13:34:47.486Z	667254707400	30	0	3	3	3	-0.554443	0.0366821	0.0108643	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:47.540Z	667254707400	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.595Z	667321448338	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.648Z	682052617707	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.700Z	682148166874	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.755Z	682198716822	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.808Z	682198716822	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.860Z	682253024634	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.913Z	682386146770	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:47.969Z	682424476561	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.020Z	682424476561	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.072Z	682472418540	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.123Z	682537069582	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.175Z	682612658280	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.229Z	682659864895	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.281Z	682720526040	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.334Z	682797781353	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.390Z	682853560363	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.442Z	682920321665	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.495Z	682986994790	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.550Z	683053584426	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.602Z	683053584426	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.653Z	683120356665	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.708Z	683186947603	30	0	3	3	3	-0.554443	0.0366821	0.0111084	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.762Z	683253582238	30	0	3	3	3	-0.554443	0.0366211	0.0110474	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.814Z	683253582238	30	0	3	3	3	-0.554443	0.0366211	0.0110474	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.870Z	683320228071	30	0	3	3	3	-0.554443	0.0366211	0.0110474	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.922Z	683386944790	30	0	3	3	3	-0.554443	0.0366211	0.0109253	-0.83136	247.375	-2.75	3.375
2017-06-30T13:34:48.974Z	683453576509	30	0	3	3	3	-0.554443	0.0366211	0.0108643	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.026Z	683520207759	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.078Z	683520207759	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.129Z	683586955728	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.183Z	683653570050	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.235Z	683720365519	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.286Z	683720365519	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.342Z	683786949165	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.394Z	683853575988	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.446Z	683920207863	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.501Z	683986836196	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.554Z	683986836196	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.605Z	684053571092	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.657Z	684120202290	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.714Z	684186981769	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.766Z	684253584790	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.819Z	684320333227	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.875Z	684320333227	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.926Z	684386836352	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:49.980Z	684453570206	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.032Z	684453570206	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.086Z	684520223644	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.137Z	684586821560	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.192Z	684653456613	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.247Z	684720209842	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
2017-06-30T13:34:50.300Z	684786864373	30	0	3	3	3	-0.554443	0.0365601	0.0108032	-0.83136	247.375	-2.75	3.3125
