GPS time	ZED timestamp	Temp (C)	Sys_cal	accel_cal	gyro_cal	mag_cal	w_quat	x_quat	y_quat	z_quat	x_eulery_euler	z_euler
2017-06-30T15:37:14.159Z	194107425497	29	0	0	3	3	-0.118042	0.0397949	0.0319824	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.226Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.289Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.346Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.401Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.456Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.511Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.572Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.638Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.703Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.760Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.821Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.878Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.933Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:14.990Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.046Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.104Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.160Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.222Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.280Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.333Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.389Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.443Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.504Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.558Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.622Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
2017-06-30T15:37:15.678Z	194107425497	29	0	0	3	3	-0.118042	0.039856	0.0322266	-0.991699	193.562	-4.0625	4.1875
