GPS time	ZED timestamp	Temp (C)	Sys_cal	accel_cal	gyro_cal	mag_cal	w_quat	x_quat	y_quat	z_quat	x_eulery_euler	z_euler
2017-06-30T15:34:39.248Z	549284424560	28	3	0	3	3	0.185791	-0.0498047	-0.0253906	0.981018	201.438	-5.0625	3.875
2017-06-30T15:34:39.302Z	549284424560	28	3	0	3	3	0.18573	-0.0498657	-0.0256958	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.354Z	19384151085	28	3	0	3	3	0.18573	-0.0498047	-0.0256958	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.406Z	122603528285	28	3	0	3	3	0.18573	-0.0498047	-0.0257568	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.462Z	122702134483	28	3	0	3	3	0.185791	-0.0498047	-0.0257568	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.514Z	122739145264	28	3	0	3	3	0.185791	-0.0498047	-0.0257568	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.565Z	122827615993	28	3	0	3	3	0.185791	-0.0498047	-0.0258179	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.617Z	122864155316	28	3	0	3	3	0.185791	-0.0498047	-0.0258179	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.673Z	122907462608	28	3	0	3	3	0.185791	-0.0498047	-0.0258179	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.725Z	122946040055	28	3	0	3	3	0.185791	-0.0498047	-0.0258789	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.777Z	122992708545	28	3	0	3	3	0.185791	-0.0498047	-0.0258789	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.832Z	123054778233	28	3	0	3	3	0.185791	-0.0498047	-0.0258789	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.884Z	123116507816	28	3	0	3	3	0.185791	-0.0497437	-0.0258789	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.937Z	123178330889	28	3	0	3	3	0.185791	-0.0497437	-0.0259399	0.981018	201.438	-5	3.9375
2017-06-30T15:34:39.994Z	123178330889	28	3	0	3	3	0.185791	-0.0497437	-0.0259399	0.981018	201.438	-5	3.9375
