lat	lon
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
33.82802	-83.45118
